Course Code,Course Name,LTP,Credit,Type
MA5115,Introduction to algebraic D-modules,3-0-0,3.0,DE1
MA6116,Nonlinear Optimization,3-0-0,3.0,DE1
MA5117,Fundamentals of Block Chain,3-0-0,3.0,DE2
MA6118,Generative AI,2-0-0,3.0,DE2
MA6119,Mathematical Finance,3-0-0,3.0,DE2
MA6120,Rings and Modules,3-0-0,3.0,DE2
MA6121,Large Language Models (LLMs),2-0-0,3.0,DE3
MA6191,Number Theory,3-0-0,3.0,DE3
MA6229,Stochastic Calculus for Finance,3-0-0,3.0,DE3
MA6212,Mathematical Modeling,3-0-0,3.0,IDE
MA6213,Advanced Algorithms,3-0-0,3.0,DE4
MA5214,Introduction to Biomathematics,3-0-0,3.0,DE4
MA6215,Introduction to Homological Algebra,3-0-0,3.0,DE4
MA6216,Portfolio Theory and Risk Management,3-0-0,3.0,DE4
MA6217,Noncommutative Algebra,3-0-0,3.0,DE4
MA6218,Sobolev Spaces,3-0-0,3.0,DE4
MA6219,Wavelet Transform,3-0-0,3.0,DE4
MA6220,Differential Manifolds,3-0-0,3.0,DE5
MA6221,Graph Algorithms,3-0-0,3.0,DE5
MA6230,Numerical solutions of PDEs,2-0-0,3.0,DE5
MA6222,Statistical Inference,3-0-0,3.0,DE5
MA6223,Database and Data Mining,2-0-0,3.0,DE5
MA5224,Advanced Complex Analysis,3-0-0,3.0,DE6
MA6225,Algebraic Coding Theory,3-0-0,3.0,DE6
MA6226,Discrete Mathematics,3-0-0,3.0,DE6
MA6227,Finite Element Analysis,3-0-0,3.0,DE6
MA6228,Introduction to Algebraic Geometry,3-0-0,3.0,DE6
ME6102,Computational Fluid Dynamics,3-0-0,3.0,DE1
ME6106,Mobile Robotics,3-0-0,3.0,DE1
ME6107,Digital Manufacturing and Industry 4.0,3-0-0,3.0,DE1
ME6108,Wear & Lubrication of Machine Components,3-0-0,3.0,DE1
ME6103,Continuum Mechanics,3-0-0,3.0,DE1
ME6110,Biomechanics,3-0-0,3.0,DE1
ME6111,Advanced Manufacturing Processes,3-0-0,3.0,DE1
ME6112,Advanced Mechanical Characterisation of Alloys,3-0-0,3.0,DE1
ME6203,Laser Processing of Materials,3-0-0,3.0,DE2
ME6208,Robot Motion Planning,3-0-0,3.0,DE2
ME6214,Additive Manufacturing of Metals: Theory and Practice,3-0-0,3.0,DE2
ME6215,Computer Numerical Controlled Machine Tools,3-0-0,3.0,DE2
ME6210,Robotics: Advanced Concepts & Analysis,3-0-0,3.0,DE2
ME6211,Analysis of Welding Processes,3-0-0,3.0,DE2
ME6212,Fracture and Fatigue,3-0-0,3.0,DE2
ME6109,Digital Manufacturing and Industry 4.0,3-0-0,3.0,DE1
ME6207,Biomechanics,3-0-0,3.0,DE2
ME6209,Rotor Dynamics,3-0-0,3.0,DE3
ME6206,Non-linear Systems Dynamics,3-0-0,3.0,DE3
ME6122,Patterns Recognition and Machine Learning,3-0-0,3.0,DE5
ME6104,Computational Fluid Dynamics,3-0-0,3.0,DE1
ME6201,Continuum Mechanics,3-0-0,3.0,DE2
ME6202,Refrigeration and Air-Conditioning,3-0-0,3.0,DE2
ME6204,Cryogenics,3-0-0,3.0,DE3
ME6205,Laser Processing of Materials,3-0-0,3.0,DE3
MM6113,"Processing Technology of Metal, Ceramic and Composites",3-0-0,3.0,DE1
MM6114,Surface Engineering,3-0-0,3.0,DE1
MM6231,"Nanomaterials: Structure, Property and Applications",3-0-0,3.0,DE1
MM6234,Field-assisted Sintering Techniques,3-0-0,3.0,DE1
MM6236,Defects and Diffusion in Materials,3-0-0,3.0,DE2
